f4g,txtmrbts,txtlncel
1501,563154,11
1501,563154,12
1501,563154,13
1501,563154,15
1501,563154,16
1874,563154,41
1874,563154,42
1874,563154,43
1874,563154,45
1501,562734,11
1501,562734,12
1501,562734,13
1501,562734,16
50,562734,17
50,562734,18
50,562734,19
1874,562734,41
1874,562734,43
1501,563371,11
1501,563371,12
1501,563371,13
1874,563371,41
1874,563371,43
1501,565225,11
1501,565225,12
1501,565225,13
1874,565225,41
1874,565225,43
1501,555267,11
1501,555267,12
1501,555267,13
1874,555267,42
1501,563151,11
1501,563151,12
1501,563151,13
1874,563151,41
1874,563151,42
1874,563151,43
1501,563138,11
1501,563138,12
1501,563138,13
1874,563138,41
1874,563138,42
1874,563138,43
1501,574316,11
1501,574316,12
1501,574316,13
1874,574316,43
1501,893989,11
1300,893989,111
1300,893989,112
1501,893989,12
1501,893989,13
1874,893989,43
1501,521222,11
1501,521222,12
1501,521222,13
1874,521222,42
1501,574108,11
1501,574108,12
1501,574108,13
1501,574108,15
1874,574108,41
1874,574108,42
1874,574108,43
1874,574108,45
1501,563113,11
1501,563113,12
1501,563113,13
1501,563113,16
1874,563113,41
1874,563113,42
1874,563113,43
1874,563113,46
1501,553730,11
1501,553730,12
1501,553730,13
1874,553730,42
1501,562722,11
1501,562722,12
1501,562722,13
50,562722,17
50,562722,18
50,562722,19
1874,562722,41
1874,562722,42
1874,562722,43
1501,551513,11
1501,551513,12
1501,551513,13
1874,551513,41
1874,551513,42
1874,551513,43
1501,521616,11
1501,521616,12
1501,521616,13
1501,521616,16
50,521616,17
50,521616,18
50,521616,19
1874,521616,43
1874,521616,46
1501,553797,11
1501,553797,12
1501,553797,13
1874,553797,42
1501,591642,11
1501,591642,12
1501,591642,13
1501,591642,15
1501,591642,16
1874,591642,41
1874,591642,42
1874,591642,43
1874,591642,45
1501,524092,11
1501,524092,12
1501,524092,13
50,524092,17
50,524092,18
50,524092,19
1501,524092,21
1874,524092,41
1874,524092,42
1874,524092,43
1501,562973,11
1501,562973,12
1501,562973,13
1874,562973,42
1874,562973,43
1501,574756,11
1501,574756,12
1501,574756,13
1874,574756,41
1501,574620,11
1501,574620,12
1501,574620,13
1874,574620,41
1874,574620,43
1501,521450,11
1501,521450,12
1501,521450,13
1501,521450,15
1874,521450,42
1874,521450,45
1501,562958,11
1501,562958,12
1501,562958,13
1874,562958,43
1501,550666,11
1501,550666,12
1501,550666,13
1874,550666,41
1874,550666,42
1874,550666,43
1501,520660,11
1501,520660,12
1501,520660,13
1501,520660,16
50,520660,17
50,520660,18
50,520660,19
1874,520660,41
1874,520660,42
1874,520660,46
1501,594909,11
1501,594909,12
1501,594909,13
1874,594909,41
1874,594909,42
1501,562917,11
1501,562917,12
1501,562917,13
1874,562917,41
1874,562917,42
1501,522437,11
1501,522437,12
1501,522437,13
50,522437,17
50,522437,19
1874,522437,42
1501,520083,11
1501,520083,12
1501,520083,13
1874,520083,42
1501,520452,11
1501,520452,12
1501,520452,13
50,520452,19
1874,520452,43
1501,563170,11
1501,563170,12
1501,563170,13
1874,563170,42
1501,595260,11
1501,595260,12
1501,595260,13
1874,595260,43
1501,521211,11
1501,521211,12
1501,521211,13
1874,521211,42
1501,563026,11
1501,563026,12
1501,563026,13
1874,563026,43
1501,572831,11
1501,572831,12
1501,572831,13
1874,572831,41
1874,572831,42
1501,521057,11
1501,521057,12
50,521057,17
50,521057,18
1874,521057,41
1501,561636,11
1501,561636,12
1501,561636,13
1874,561636,41
1501,574777,11
1501,574777,12
1501,574777,13
1874,574777,42
1874,574777,43
1501,521064,11
1501,521064,12
1501,521064,13
50,521064,17
50,521064,18
50,521064,19
1874,521064,41
1874,521064,42
1874,521064,43
1501,560303,11
1501,560303,12
1501,560303,13
1874,560303,41
1874,560303,42
1874,560303,43
1501,521556,11
1501,521556,12
1501,521556,13
1874,521556,41
1501,521711,11
1501,521711,12
1501,521711,13
1501,521711,15
50,521711,17
50,521711,18
50,521711,19
1874,521711,45
1501,553898,11
1501,553898,12
1501,553898,13
1874,553898,41
1874,553898,42
1501,563300,11
1501,563300,12
1501,563300,13
1874,563300,43
1501,520155,11
1501,520155,12
1501,520155,13
1874,520155,42
1874,520155,43
1501,521409,11
1501,521409,12
1501,521409,13
1874,521409,41
1501,551942,11
1501,551942,12
1501,551942,13
1874,551942,41
1501,520810,11
1501,520810,12
1501,520810,13
1874,520810,14
1874,520810,15
50,520810,17
50,520810,18
50,520810,19
1874,520810,43
1501,522119,11
1501,522119,12
1501,522119,13
1501,522119,21
1501,522119,22
1501,522119,23
1874,522119,41
1874,522119,43
1501,563205,11
1501,563205,12
1501,563205,13
1874,563205,41
1874,563205,42
1874,563205,43
1501,562922,11
1501,562922,12
1501,562922,13
1874,562922,41
1501,561189,11
1501,561189,12
1501,561189,13
1501,561189,15
1874,561189,41
